,question,modified_relation
1405,Which object in this image is an animal?,IsA
693,Which animal can be seen in this picture?,IsA
4105,Which one in this image is a animal?,IsA
3562,Which object in this image is a animal?,IsA
4215,What mammals can be seen in this image?,Category
3348,which kind of mammal is in this image,Category
4214,What can be found in this place?,AtLocation
2459,What can be found in this place?,AtLocation
3801,What can be found in this place?,AtLocation
2609,what animal can be found in this place?,AtLocation
4217,What in this image has roots?,PartOf
4216,Which object in this image is related to drive?,RelatedTo
4211,Which thing in this image is used for brainwashing people into buying stuff?,UsedFor
4210,What thing in this image is for watching?,UsedFor
0,What is a TV used for,UsedFor
1491,What kind of  Sports equipment is used in this image ?,Category
3923,What sports equipment can be seen in this image?,Category
5320,Which Sports equipment does the man using,Category
5790,Which object in this image is a wind instrument?,IsA
849,What instrument in the image is a wind instrument?,IsA
460,what object in this image is a wind instrument?,IsA
4219,Where does the place in this image can be found in?,AtLocation
4218,What property does the place in this image have?,HasProperty
1832,What objects in this image are inspirational,HasProperty
1833,What objects in this image are inspirational,HasProperty
1830,What objects in this image are inspirational,HasProperty
1831,What objects in this image are inspirational,HasProperty
1834,What objects in this image are inspirational,HasProperty
1829,What objects in this image are inspirational,HasProperty
1828,What objects in this image are inspirational,HasProperty
1825,What objects in this image are inspirational,HasProperty
1824,What objects in this image are inspirational,HasProperty
1827,What objects in this image are inspirational,HasProperty
1826,What objects in this image are inspirational,HasProperty
1545,Which object in this image has legs?,HasA
1542,Which object in this image can learn how to beg?,CapableOf
1543,Which animal in this image likes to play outside?,CapableOf
1361,Which object in this image is capable of play outside?,CapableOf
3261,What input method is slower than the bottom object in this image? ,Comparative
1540,What is usually in this place?,AtLocation
3260,Which kind of Domesticated animals is shown in this image ?,Category
5577,which kind of vehicle shown in this image is smaller than car?,Comparative
4381,which object in this image is smaller than car?,Comparative
5576,Which animal in this image is large?,HasProperty
2013,Which object in this image has the property of enormous?,HasProperty
3566,Which object in this image is large?,HasProperty
5043,What are the large objects in this image?,HasProperty
5575,Which object in this image is the largest land animal?,IsA
4367,Which animal in this image is a our largest land animal?,IsA
695,What does banjo belongs to,Category
5573,What is the place in this image used for?,UsedFor
1504,What is the place in this image used for?,UsedFor
5572,Which object in this image is worn on the hand?,Category
5571,Which objects in this image are used for protection?,UsedFor
2116,Which object in this image is used to void injury?,UsedFor
5570,What metal object is in this image?,RelatedTo
3262,Which object in this image is related to typewriter?,RelatedTo
5799,Which object in this image is capable of lying?,CapableOf
1937,Which object in this image has the property of dry and small?,HasProperty
5798,Which object in this image is a part of bathroom?,HasA
1620,What in the bottom of the image can you typically find in this place?,HasA
5132,What does this place contain?,HasA
3264,What is the place in this image used for?,UsedFor
3267,Which object in this image is an animal humans keep as a pet?,IsA
2543,Which object in this image can be kept as a pet?,IsA
4207,What object in this image can be kept as a pet?,IsA
3165,Which object in this image is a animal human keep as pet?,IsA
335,What is the taste of the fruit in the image?,IsA
337,Which thing you have to use if you want to poop?,UsedFor
3266,Which object in this image is a loyal pet?,IsA
1018,What animal is loyal pet?,IsA
330,What are flown in the sky?,ReceivesAction
333,Which thing in the image is used to browning bread?,RelatedTo
332,What is in the bottle?,RelatedTo
3269,Which object in this image is a musical instrument?,IsA
3336,Which object in this image is a musical instrument?,IsA
5125,What thing is likely to be found in this place,AtLocation
5126,which object has claws,HasA
5127,which object in this image is cheaper than train,Comparative
5002,What animal is in this image?,RelatedTo
1495,Which furniture in this image is to sleep on?,RelatedTo
3195,What seen here may be placed in a cargo bin?,RelatedTo
1497,Which object in this image can be served raw?,HasProperty
3416,Which object in this image is used for output by a computer?,IsA
